# Jiukong first-party phrase lexicon. See README.md.
測試	ㄘㄜˋ ㄕˋ
這個	ㄓㄜˋ ˙ㄍㄜ
那個	ㄋㄚˋ ˙ㄍㄜ
因為	ㄧㄣ ㄨㄟˋ
所以	ㄙㄨㄛˇ ㄧˇ
如果	ㄖㄨˊ ㄍㄨㄛˇ
但是	ㄉㄢˋ ㄕˋ
而且	ㄦˊ ㄑㄧㄝˇ
第一	ㄉㄧˋ ㄧ
一個	ㄧ ㄍㄜˋ
自己	ㄗˋ ㄐㄧˇ
設計	ㄕㄜˋ ㄐㄧˋ
直接	ㄓˊ ㄐㄧㄝ
重新	ㄔㄨㄥˊ ㄒㄧㄣ
版本	ㄅㄢˇ ㄅㄣˇ
更新	ㄍㄥ ㄒㄧㄣ
檢查	ㄐㄧㄢˇ ㄔㄚˊ
修正	ㄒㄧㄡ ㄓㄥˋ
錯誤	ㄘㄨㄛˋ ㄨˋ
顯示	ㄒㄧㄢˇ ㄕˋ
提交	ㄊㄧˊ ㄐㄧㄠ
確認	ㄑㄩㄝˋ ㄖㄣˋ
應用程式	ㄧㄥˋ ㄩㄥˋ ㄔㄥˊ ㄕˋ

# Core conversation, reference, and question words.
大家	ㄉㄚˋ ㄐㄧㄚ
別人	ㄅㄧㄝˊ ㄖㄣˊ
有人	ㄧㄡˇ ㄖㄣˊ
沒人	ㄇㄟˊ ㄖㄣˊ
每人	ㄇㄟˇ ㄖㄣˊ
本人	ㄅㄣˇ ㄖㄣˊ
對方	ㄉㄨㄟˋ ㄈㄤ
彼此	ㄅㄧˇ ㄘˇ
她們	ㄊㄚ ˙ㄇㄣ
它們	ㄊㄚ ˙ㄇㄣ
我的	ㄨㄛˇ ˙ㄉㄜ
你的	ㄋㄧˇ ˙ㄉㄜ
他的	ㄊㄚ ˙ㄉㄜ
她的	ㄊㄚ ˙ㄉㄜ
它的	ㄊㄚ ˙ㄉㄜ
這裡	ㄓㄜˋ ㄌㄧˇ
那裡	ㄋㄚˋ ㄌㄧˇ
哪裡	ㄋㄚˇ ㄌㄧˇ
這邊	ㄓㄜˋ ㄅㄧㄢ
那邊	ㄋㄚˋ ㄅㄧㄢ
哪邊	ㄋㄚˇ ㄅㄧㄢ
這些	ㄓㄜˋ ㄒㄧㄝ
那些	ㄋㄚˋ ㄒㄧㄝ
哪些	ㄋㄚˇ ㄒㄧㄝ
哪個	ㄋㄚˇ ㄍㄜˋ
哪一個	ㄋㄚˇ ㄧ ㄍㄜˋ
誰的	ㄕㄟˊ ˙ㄉㄜ
怎麼	ㄗㄣˇ ˙ㄇㄜ
怎樣	ㄗㄣˇ ㄧㄤˋ
怎麼樣	ㄗㄣˇ ˙ㄇㄜ ㄧㄤˋ
為什麼	ㄨㄟˋ ㄕㄣˊ ˙ㄇㄜ
多少	ㄉㄨㄛ ㄕㄠˇ
多久	ㄉㄨㄛ ㄐㄧㄡˇ
幾個	ㄐㄧˇ ㄍㄜˋ
幾點	ㄐㄧˇ ㄉㄧㄢˇ
哪天	ㄋㄚˇ ㄊㄧㄢ
何時	ㄏㄜˊ ㄕˊ
所有	ㄙㄨㄛˇ ㄧㄡˇ
任何	ㄖㄣˋ ㄏㄜˊ
另外	ㄌㄧㄥˋ ㄨㄞˋ
其中	ㄑㄧˊ ㄓㄨㄥ
各種	ㄍㄜˋ ㄓㄨㄥˇ
每次	ㄇㄟˇ ㄘˋ
每天	ㄇㄟˇ ㄊㄧㄢ
每年	ㄇㄟˇ ㄋㄧㄢˊ
每月	ㄇㄟˇ ㄩㄝˋ
每週	ㄇㄟˇ ㄓㄡ
一切	ㄧ ㄑㄧㄝˋ
一起	ㄧ ㄑㄧˇ
一樣	ㄧ ㄧㄤˋ
一定	ㄧ ㄉㄧㄥˋ
可能	ㄎㄜˇ ㄋㄥˊ
應該	ㄧㄥ ㄍㄞ
必須	ㄅㄧˋ ㄒㄩ
也許	ㄧㄝˇ ㄒㄩˇ
當然	ㄉㄤ ㄖㄢˊ
其實	ㄑㄧˊ ㄕˊ
真的	ㄓㄣ ˙ㄉㄜ
比較	ㄅㄧˇ ㄐㄧㄠˋ
非常	ㄈㄟ ㄔㄤˊ
特別	ㄊㄜˋ ㄅㄧㄝˊ
大概	ㄉㄚˋ ㄍㄞˋ
主要	ㄓㄨˇ ㄧㄠˋ
重要	ㄓㄨㄥˋ ㄧㄠˋ
基本	ㄐㄧ ㄅㄣˇ
完全	ㄨㄢˊ ㄑㄩㄢˊ
共同	ㄍㄨㄥˋ ㄊㄨㄥˊ
一般	ㄧ ㄅㄢ
普通	ㄆㄨˇ ㄊㄨㄥ

# Connectors and sequence words.
然後	ㄖㄢˊ ㄏㄡˋ
不過	ㄅㄨˋ ㄍㄨㄛˋ
雖然	ㄙㄨㄟ ㄖㄢˊ
同時	ㄊㄨㄥˊ ㄕˊ
只要	ㄓˇ ㄧㄠˋ
除非	ㄔㄨˊ ㄈㄟ
不但	ㄅㄨˋ ㄉㄢˋ
甚至	ㄕㄣˋ ㄓˋ
例如	ㄌㄧˋ ㄖㄨˊ
關於	ㄍㄨㄢ ㄩˊ
對於	ㄉㄨㄟˋ ㄩˊ
根據	ㄍㄣ ㄐㄩˋ
透過	ㄊㄡˋ ㄍㄨㄛˋ
由於	ㄧㄡˊ ㄩˊ
因此	ㄧㄣ ㄘˇ
結果	ㄐㄧㄝˊ ㄍㄨㄛˇ
最後	ㄗㄨㄟˋ ㄏㄡˋ
首先	ㄕㄡˇ ㄒㄧㄢ
接著	ㄐㄧㄝ ˙ㄓㄜ
目前	ㄇㄨˋ ㄑㄧㄢˊ
原來	ㄩㄢˊ ㄌㄞˊ
後來	ㄏㄡˋ ㄌㄞˊ
以前	ㄧˇ ㄑㄧㄢˊ
以後	ㄧˇ ㄏㄡˋ
未來	ㄨㄟˋ ㄌㄞˊ
最近	ㄗㄨㄟˋ ㄐㄧㄣˋ
剛才	ㄍㄤ ㄘㄞˊ
馬上	ㄇㄚˇ ㄕㄤˋ
立刻	ㄌㄧˋ ㄎㄜˋ
終於	ㄓㄨㄥ ㄩˊ
一直	ㄧ ㄓˊ
常常	ㄔㄤˊ ㄔㄤˊ
經常	ㄐㄧㄥ ㄔㄤˊ
通常	ㄊㄨㄥ ㄔㄤˊ
偶爾	ㄡˇ ㄦˇ
從來	ㄘㄨㄥˊ ㄌㄞˊ
再次	ㄗㄞˋ ㄘˋ
永遠	ㄩㄥˇ ㄩㄢˇ

# Polite and everyday responses.
請問	ㄑㄧㄥˇ ㄨㄣˋ
麻煩	ㄇㄚˊ ㄈㄢˊ
麻煩你	ㄇㄚˊ ㄈㄢˊ ㄋㄧˇ
不好意思	ㄅㄨˋ ㄏㄠˇ ㄧˋ ㄙ
沒關係	ㄇㄟˊ ㄍㄨㄢ ㄒㄧˋ
對不起	ㄉㄨㄟˋ ㄅㄨˋ ㄑㄧˇ
不用	ㄅㄨˋ ㄩㄥˋ
不客氣	ㄅㄨˋ ㄎㄜˋ ㄑㄧˋ
沒問題	ㄇㄟˊ ㄨㄣˋ ㄊㄧˊ
沒辦法	ㄇㄟˊ ㄅㄢˋ ㄈㄚˇ
好嗎	ㄏㄠˇ ˙ㄇㄚ
好的	ㄏㄠˇ ˙ㄉㄜ
好吧	ㄏㄠˇ ˙ㄅㄚ
知道	ㄓ ㄉㄠˋ
了解	ㄌㄧㄠˇ ㄐㄧㄝˇ
明白	ㄇㄧㄥˊ ㄅㄞˊ
同意	ㄊㄨㄥˊ ㄧˋ
不同意	ㄅㄨˋ ㄊㄨㄥˊ ㄧˋ
沒錯	ㄇㄟˊ ㄘㄨㄛˋ
對了	ㄉㄨㄟˋ ˙ㄌㄜ
是的	ㄕˋ ˙ㄉㄜ
不是	ㄅㄨˋ ㄕˋ
真的嗎	ㄓㄣ ˙ㄉㄜ ˙ㄇㄚ
怎麼辦	ㄗㄣˇ ˙ㄇㄜ ㄅㄢˋ
歡迎	ㄏㄨㄢ ㄧㄥˊ
再見	ㄗㄞˋ ㄐㄧㄢˋ
早安	ㄗㄠˇ ㄢ
午安	ㄨˇ ㄢ
晚安	ㄨㄢˇ ㄢ
恭喜	ㄍㄨㄥ ㄒㄧˇ
祝福	ㄓㄨˋ ㄈㄨˊ
加油	ㄐㄧㄚ ㄧㄡˊ
小心	ㄒㄧㄠˇ ㄒㄧㄣ
放心	ㄈㄤˋ ㄒㄧㄣ
別擔心	ㄅㄧㄝˊ ㄉㄢ ㄒㄧㄣ
辛苦了	ㄒㄧㄣ ㄎㄨˇ ˙ㄌㄜ
收到	ㄕㄡ ㄉㄠˋ
沒收到	ㄇㄟˊ ㄕㄡ ㄉㄠˋ
請確認	ㄑㄧㄥˇ ㄑㄩㄝˋ ㄖㄣˋ
請檢查	ㄑㄧㄥˇ ㄐㄧㄢˇ ㄔㄚˊ
請幫忙	ㄑㄧㄥˇ ㄅㄤ ㄇㄤˊ
幫我	ㄅㄤ ㄨㄛˇ
告訴我	ㄍㄠˋ ㄙㄨˋ ㄨㄛˇ
我知道	ㄨㄛˇ ㄓ ㄉㄠˋ
我覺得	ㄨㄛˇ ㄐㄩㄝˊ ˙ㄉㄜ
我認為	ㄨㄛˇ ㄖㄣˋ ㄨㄟˊ
沒想到	ㄇㄟˊ ㄒㄧㄤˇ ㄉㄠˋ
看起來	ㄎㄢˋ ㄑㄧˇ ㄌㄞˊ
聽起來	ㄊㄧㄥ ㄑㄧˇ ㄌㄞˊ
有可能	ㄧㄡˇ ㄎㄜˇ ㄋㄥˊ
不可能	ㄅㄨˋ ㄎㄜˇ ㄋㄥˊ
沒必要	ㄇㄟˊ ㄅㄧˋ ㄧㄠˋ
有需要	ㄧㄡˇ ㄒㄩ ㄧㄠˋ
應該是	ㄧㄥ ㄍㄞ ㄕˋ
可能是	ㄎㄜˇ ㄋㄥˊ ㄕˋ
就是	ㄐㄧㄡˋ ㄕˋ
還是	ㄏㄞˊ ㄕˋ
或者	ㄏㄨㄛˋ ㄓㄜˇ
以及	ㄧˇ ㄐㄧˊ

# Time, calendar, and scheduling.
昨天	ㄗㄨㄛˊ ㄊㄧㄢ
前天	ㄑㄧㄢˊ ㄊㄧㄢ
後天	ㄏㄡˋ ㄊㄧㄢ
今日	ㄐㄧㄣ ㄖˋ
明日	ㄇㄧㄥˊ ㄖˋ
昨日	ㄗㄨㄛˊ ㄖˋ
早上	ㄗㄠˇ ㄕㄤˋ
上午	ㄕㄤˋ ㄨˇ
中午	ㄓㄨㄥ ㄨˇ
下午	ㄒㄧㄚˋ ㄨˇ
晚上	ㄨㄢˇ ㄕㄤˋ
半夜	ㄅㄢˋ ㄧㄝˋ
凌晨	ㄌㄧㄥˊ ㄔㄣˊ
星期一	ㄒㄧㄥ ㄑㄧˊ ㄧ
星期二	ㄒㄧㄥ ㄑㄧˊ ㄦˋ
星期三	ㄒㄧㄥ ㄑㄧˊ ㄙㄢ
星期四	ㄒㄧㄥ ㄑㄧˊ ㄙˋ
星期五	ㄒㄧㄥ ㄑㄧˊ ㄨˇ
星期六	ㄒㄧㄥ ㄑㄧˊ ㄌㄧㄡˋ
星期日	ㄒㄧㄥ ㄑㄧˊ ㄖˋ
星期天	ㄒㄧㄥ ㄑㄧˊ ㄊㄧㄢ
週一	ㄓㄡ ㄧ
週二	ㄓㄡ ㄦˋ
週三	ㄓㄡ ㄙㄢ
週四	ㄓㄡ ㄙˋ
週五	ㄓㄡ ㄨˇ
週六	ㄓㄡ ㄌㄧㄡˋ
週日	ㄓㄡ ㄖˋ
今年	ㄐㄧㄣ ㄋㄧㄢˊ
明年	ㄇㄧㄥˊ ㄋㄧㄢˊ
去年	ㄑㄩˋ ㄋㄧㄢˊ
本月	ㄅㄣˇ ㄩㄝˋ
上個月	ㄕㄤˋ ㄍㄜˋ ㄩㄝˋ
下個月	ㄒㄧㄚˋ ㄍㄜˋ ㄩㄝˋ
本週	ㄅㄣˇ ㄓㄡ
上週	ㄕㄤˋ ㄓㄡ
下週	ㄒㄧㄚˋ ㄓㄡ
這幾天	ㄓㄜˋ ㄐㄧˇ ㄊㄧㄢ
過幾天	ㄍㄨㄛˋ ㄐㄧˇ ㄊㄧㄢ
等一下	ㄉㄥˇ ㄧ ㄒㄧㄚˋ
一下子	ㄧ ㄒㄧㄚˋ ˙ㄗ
一會兒	ㄧ ㄏㄨㄟˇ ㄦˊ
剛剛	ㄍㄤ ㄍㄤ
待會兒	ㄉㄞ ㄏㄨㄟˇ ㄦˊ
很快	ㄏㄣˇ ㄎㄨㄞˋ
準時	ㄓㄨㄣˇ ㄕˊ
提早	ㄊㄧˊ ㄗㄠˇ
延後	ㄧㄢˊ ㄏㄡˋ
開始	ㄎㄞ ㄕˇ
結束	ㄐㄧㄝˊ ㄕㄨˋ
期間	ㄑㄧˊ ㄐㄧㄢ
日期	ㄖˋ ㄑㄧˊ
年代	ㄋㄧㄢˊ ㄉㄞˋ
時候	ㄕˊ ㄏㄡˋ
分鐘	ㄈㄣ ㄓㄨㄥ
小時	ㄒㄧㄠˇ ㄕˊ
秒鐘	ㄇㄧㄠˇ ㄓㄨㄥ
週末	ㄓㄡ ㄇㄛˋ
平日	ㄆㄧㄥˊ ㄖˋ
假日	ㄐㄧㄚˋ ㄖˋ
生日	ㄕㄥ ㄖˋ
新年	ㄒㄧㄣ ㄋㄧㄢˊ
一月	ㄧ ㄩㄝˋ
二月	ㄦˋ ㄩㄝˋ
三月	ㄙㄢ ㄩㄝˋ
四月	ㄙˋ ㄩㄝˋ
五月	ㄨˇ ㄩㄝˋ
六月	ㄌㄧㄡˋ ㄩㄝˋ
七月	ㄑㄧ ㄩㄝˋ
八月	ㄅㄚ ㄩㄝˋ
九月	ㄐㄧㄡˇ ㄩㄝˋ
十月	ㄕˊ ㄩㄝˋ
十一月	ㄕˊ ㄧ ㄩㄝˋ
十二月	ㄕˊ ㄦˋ ㄩㄝˋ

# People, family, and roles.
家人	ㄐㄧㄚ ㄖㄣˊ
父母	ㄈㄨˋ ㄇㄨˇ
爸爸	ㄅㄚˋ ㄅㄚˋ
媽媽	ㄇㄚ ㄇㄚ
哥哥	ㄍㄜ ㄍㄜ
弟弟	ㄉㄧˋ ㄉㄧˋ
姐姐	ㄐㄧㄝˇ ㄐㄧㄝˇ
妹妹	ㄇㄟˋ ㄇㄟˋ
兒子	ㄦˊ ˙ㄗ
女兒	ㄋㄩˇ ㄦˊ
孩子	ㄏㄞˊ ˙ㄗ
小孩	ㄒㄧㄠˇ ㄏㄞˊ
大人	ㄉㄚˋ ㄖㄣˊ
老人	ㄌㄠˇ ㄖㄣˊ
男生	ㄋㄢˊ ㄕㄥ
女生	ㄋㄩˇ ㄕㄥ
男人	ㄋㄢˊ ㄖㄣˊ
女人	ㄋㄩˇ ㄖㄣˊ
夫妻	ㄈㄨ ㄑㄧ
丈夫	ㄓㄤˋ ㄈㄨ
妻子	ㄑㄧ ˙ㄗ
老公	ㄌㄠˇ ㄍㄨㄥ
老婆	ㄌㄠˇ ㄆㄛˊ
朋友	ㄆㄥˊ ㄧㄡˇ
同事	ㄊㄨㄥˊ ㄕˋ
同學	ㄊㄨㄥˊ ㄒㄩㄝˊ
老師	ㄌㄠˇ ㄕ
學生	ㄒㄩㄝˊ ㄕㄥ
教授	ㄐㄧㄠˋ ㄕㄡˋ
醫生	ㄧ ㄕㄥ
護理師	ㄏㄨˋ ㄌㄧˇ ㄕ
先生	ㄒㄧㄢ ㄕㄥ
小姐	ㄒㄧㄠˇ ㄐㄧㄝˇ
女士	ㄋㄩˇ ㄕˋ
客人	ㄎㄜˋ ㄖㄣˊ
顧客	ㄍㄨˋ ㄎㄜˋ
客戶	ㄎㄜˋ ㄏㄨˋ
使用者	ㄕˇ ㄩㄥˋ ㄓㄜˇ
管理員	ㄍㄨㄢˇ ㄌㄧˇ ㄩㄢˊ
工程師	ㄍㄨㄥ ㄔㄥˊ ㄕ
設計師	ㄕㄜˋ ㄐㄧˋ ㄕ
主管	ㄓㄨˇ ㄍㄨㄢˇ
老闆	ㄌㄠˇ ㄅㄢˇ
員工	ㄩㄢˊ ㄍㄨㄥ
公司	ㄍㄨㄥ ㄙ
團隊	ㄊㄨㄢˊ ㄉㄨㄟˋ
鄰居	ㄌㄧㄣˊ ㄐㄩ
親戚	ㄑㄧㄣ ㄑㄧ
家庭	ㄐㄧㄚ ㄊㄧㄥˊ
人員	ㄖㄣˊ ㄩㄢˊ

# Daily activities and common actions.
吃飯	ㄔ ㄈㄢˋ
喝水	ㄏㄜ ㄕㄨㄟˇ
睡覺	ㄕㄨㄟˋ ㄐㄧㄠˋ
起床	ㄑㄧˇ ㄔㄨㄤˊ
洗澡	ㄒㄧˇ ㄗㄠˇ
刷牙	ㄕㄨㄚ ㄧㄚˊ
洗臉	ㄒㄧˇ ㄌㄧㄢˇ
穿衣服	ㄔㄨㄢ ㄧ ㄈㄨˊ
出門	ㄔㄨ ㄇㄣˊ
回家	ㄏㄨㄟˊ ㄐㄧㄚ
上班	ㄕㄤˋ ㄅㄢ
下班	ㄒㄧㄚˋ ㄅㄢ
上課	ㄕㄤˋ ㄎㄜˋ
下課	ㄒㄧㄚˋ ㄎㄜˋ
休息	ㄒㄧㄡ ㄒㄧˊ
運動	ㄩㄣˋ ㄉㄨㄥˋ
走路	ㄗㄡˇ ㄌㄨˋ
跑步	ㄆㄠˇ ㄅㄨˋ
開車	ㄎㄞ ㄔㄜ
騎車	ㄑㄧˊ ㄔㄜ
搭車	ㄉㄚ ㄔㄜ
旅行	ㄌㄩˇ ㄒㄧㄥˊ
購物	ㄍㄡˋ ㄨˋ
買東西	ㄇㄞˇ ㄉㄨㄥ ㄒㄧ
付款	ㄈㄨˋ ㄎㄨㄢˇ
付錢	ㄈㄨˋ ㄑㄧㄢˊ
收錢	ㄕㄡ ㄑㄧㄢˊ
找錢	ㄓㄠˇ ㄑㄧㄢˊ
打電話	ㄉㄚˇ ㄉㄧㄢˋ ㄏㄨㄚˋ
傳訊息	ㄔㄨㄢˊ ㄒㄩㄣˋ ㄒㄧˊ
寫信	ㄒㄧㄝˇ ㄒㄧㄣˋ
寫字	ㄒㄧㄝˇ ㄗˋ
閱讀	ㄩㄝˋ ㄉㄨˊ
說話	ㄕㄨㄛ ㄏㄨㄚˋ
聽見	ㄊㄧㄥ ㄐㄧㄢˋ
看到	ㄎㄢˋ ㄉㄠˋ
觀看	ㄍㄨㄢ ㄎㄢˋ
尋找	ㄒㄩㄣˊ ㄓㄠˇ
找到	ㄓㄠˇ ㄉㄠˋ
拿到	ㄋㄚˊ ㄉㄠˋ
送出	ㄙㄨㄥˋ ㄔㄨ
打開	ㄉㄚˇ ㄎㄞ
關閉	ㄍㄨㄢ ㄅㄧˋ
開啟	ㄎㄞ ㄑㄧˇ
停止	ㄊㄧㄥˊ ㄓˇ
等待	ㄉㄥˇ ㄉㄞˋ
幫助	ㄅㄤ ㄓㄨˋ
準備	ㄓㄨㄣˇ ㄅㄟˋ
處理	ㄔㄨˇ ㄌㄧˇ
決定	ㄐㄩㄝˊ ㄉㄧㄥˋ
計畫	ㄐㄧˋ ㄏㄨㄚˋ
安排	ㄢ ㄆㄞˊ
改變	ㄍㄞˇ ㄅㄧㄢˋ
修改	ㄒㄧㄡ ㄍㄞˇ
增加	ㄗㄥ ㄐㄧㄚ
減少	ㄐㄧㄢˇ ㄕㄠˇ
刪除	ㄕㄢ ㄔㄨˊ
建立	ㄐㄧㄢˋ ㄌㄧˋ
加入	ㄐㄧㄚ ㄖㄨˋ
離開	ㄌㄧˊ ㄎㄞ
進入	ㄐㄧㄣˋ ㄖㄨˋ
出去	ㄔㄨ ㄑㄩˋ
回來	ㄏㄨㄟˊ ㄌㄞˊ
發現	ㄈㄚ ㄒㄧㄢˋ
記得	ㄐㄧˋ ˙ㄉㄜ
忘記	ㄨㄤˋ ㄐㄧˋ
學習	ㄒㄩㄝˊ ㄒㄧˊ
練習	ㄌㄧㄢˋ ㄒㄧˊ
教學	ㄐㄧㄠˋ ㄒㄩㄝˊ
分享	ㄈㄣ ㄒㄧㄤˇ
介紹	ㄐㄧㄝˋ ㄕㄠˋ
討論	ㄊㄠˇ ㄌㄨㄣˋ
回答	ㄏㄨㄟˊ ㄉㄚˊ
詢問	ㄒㄩㄣˊ ㄨㄣˋ
聯絡	ㄌㄧㄢˊ ㄌㄨㄛˋ
通知	ㄊㄨㄥ ㄓ
提醒	ㄊㄧˊ ㄒㄧㄥˇ
預約	ㄩˋ ㄩㄝ
取消	ㄑㄩˇ ㄒㄧㄠ
解決	ㄐㄧㄝˇ ㄐㄩㄝˊ
改進	ㄍㄞˇ ㄐㄧㄣˋ
調整	ㄊㄧㄠˊ ㄓㄥˇ
管理	ㄍㄨㄢˇ ㄌㄧˇ
合作	ㄏㄜˊ ㄗㄨㄛˋ
溝通	ㄍㄡ ㄊㄨㄥ
參加	ㄘㄢ ㄐㄧㄚ
離線	ㄌㄧˊ ㄒㄧㄢˋ
上線	ㄕㄤˋ ㄒㄧㄢˋ
切換	ㄑㄧㄝ ㄏㄨㄢˋ
移動	ㄧˊ ㄉㄨㄥˋ
按下	ㄢˋ ㄒㄧㄚˋ
放開	ㄈㄤˋ ㄎㄞ
選取	ㄒㄩㄢˇ ㄑㄩˇ
輸出	ㄕㄨ ㄔㄨ
列印	ㄌㄧㄝˋ ㄧㄣˋ
掃描	ㄙㄠˇ ㄇㄧㄠˊ
錄音	ㄌㄨˋ ㄧㄣ
拍照	ㄆㄞ ㄓㄠˋ

# Food, shopping, and everyday objects.
早餐	ㄗㄠˇ ㄘㄢ
午餐	ㄨˇ ㄘㄢ
晚餐	ㄨㄢˇ ㄘㄢ
食物	ㄕˊ ㄨˋ
水果	ㄕㄨㄟˇ ㄍㄨㄛˇ
蔬菜	ㄕㄨ ㄘㄞˋ
咖啡	ㄎㄚ ㄈㄟ
牛奶	ㄋㄧㄡˊ ㄋㄞˇ
開水	ㄎㄞ ㄕㄨㄟˇ
飲料	ㄧㄣˇ ㄌㄧㄠˋ
餐點	ㄘㄢ ㄉㄧㄢˇ
菜單	ㄘㄞˋ ㄉㄢ
訂單	ㄉㄧㄥˋ ㄉㄢ
商品	ㄕㄤ ㄆㄧㄣˇ
價格	ㄐㄧㄚˋ ㄍㄜˊ
便宜	ㄆㄧㄢˊ ㄧˊ
昂貴	ㄤˊ ㄍㄨㄟˋ
現金	ㄒㄧㄢˋ ㄐㄧㄣ
信用卡	ㄒㄧㄣˋ ㄩㄥˋ ㄎㄚˇ
發票	ㄈㄚ ㄆㄧㄠˋ
收據	ㄕㄡ ㄐㄩˋ
袋子	ㄉㄞˋ ˙ㄗ
衣服	ㄧ ㄈㄨˊ
鞋子	ㄒㄧㄝˊ ˙ㄗ
雨傘	ㄩˇ ㄙㄢˇ
鑰匙	ㄧㄠˋ ˙ㄕ
錢包	ㄑㄧㄢˊ ㄅㄠ
手錶	ㄕㄡˇ ㄅㄧㄠˇ
眼鏡	ㄧㄢˇ ㄐㄧㄥˋ
電話	ㄉㄧㄢˋ ㄏㄨㄚˋ
手機	ㄕㄡˇ ㄐㄧ
照片	ㄓㄠˋ ㄆㄧㄢˋ
影片	ㄧㄥˇ ㄆㄧㄢˋ
音樂	ㄧㄣ ㄩㄝˋ
新聞	ㄒㄧㄣ ㄨㄣˊ
文章	ㄨㄣˊ ㄓㄤ
故事	ㄍㄨˋ ㄕˋ
書本	ㄕㄨ ㄅㄣˇ

# Places, position, and transportation.
家裡	ㄐㄧㄚ ㄌㄧˇ
學校	ㄒㄩㄝˊ ㄒㄧㄠˋ
辦公室	ㄅㄢˋ ㄍㄨㄥ ㄕˋ
教室	ㄐㄧㄠˋ ㄕˋ
醫院	ㄧ ㄩㄢˋ
診所	ㄓㄣˇ ㄙㄨㄛˇ
銀行	ㄧㄣˊ ㄏㄤˊ
郵局	ㄧㄡˊ ㄐㄩˊ
商店	ㄕㄤ ㄉㄧㄢˋ
超市	ㄔㄠ ㄕˋ
市場	ㄕˋ ㄔㄤˇ
餐廳	ㄘㄢ ㄊㄧㄥ
飯店	ㄈㄢˋ ㄉㄧㄢˋ
旅館	ㄌㄩˇ ㄍㄨㄢˇ
車站	ㄔㄜ ㄓㄢˋ
機場	ㄐㄧ ㄔㄤˇ
公園	ㄍㄨㄥ ㄩㄢˊ
圖書館	ㄊㄨˊ ㄕㄨ ㄍㄨㄢˇ
廁所	ㄘㄜˋ ㄙㄨㄛˇ
